Step,Traffic_Rate,Latency_us,Is_Merged,Reward
0,1049.6714153011233,52483.57076505617,0,-0.052483570765056164
1,986.1735698828816,49308.67849414408,0,-0.04930867849414408
2,1064.7688538100692,53238.44269050346,0,-0.053238442690503464
3,1152.3029856408025,57615.149282040125,0,-0.057615149282040125
4,976.5846625276664,48829.23312638332,0,-0.04882923312638332
5,976.586304305082,48829.3152152541,0,-0.0488293152152541
6,1157.9212815507392,57896.06407753696,0,-0.05789606407753696
7,1076.7434729152908,53837.17364576454,0,-0.05383717364576454
8,953.0525614065048,47652.62807032524,0,-0.04765262807032524
9,1054.2560043585966,52712.800217929835,0,-0.05271280021792983
10,953.6582307187538,47682.91153593769,0,-0.04768291153593769
11,953.4270246429743,47671.351232148714,0,-0.04767135123214872
12,1024.1962271566035,51209.81135783018,0,-0.051209811357830176
13,808.6719755342202,40433.59877671101,0,-0.040433598776711016
14,827.5082167486967,41375.410837434836,0,-0.04137541083743484
15,943.7712470759027,47188.56235379513,0,-0.047188562353795135
16,898.7168879665576,44935.84439832788,0,-0.04493584439832788
17,1031.4247332595273,51571.23666297637,0,-0.05157123666297637
18,909.197592447879,45459.87962239395,0,-0.04545987962239395
19,858.7696298664708,42938.48149332354,0,-0.04293848149332354
20,1146.5648768921553,57328.243844607765,0,-0.05732824384460777
21,977.4223699513465,48871.118497567324,0,-0.048871118497567326
22,1006.7528204687924,50337.64102343962,0,-0.05033764102343962
23,857.5251813786543,42876.25906893272,0,-0.04287625906893272
24,945.5617275474817,47278.086377374086,0,-0.04727808637737409
25,1011.0922589709866,50554.61294854933,0,-0.05055461294854933
26,884.9006422577697,44245.03211288849,0,-0.04424503211288849
27,1037.5698018345672,51878.49009172836,0,-0.05187849009172836
28,939.9361310081194,46996.80655040597,0,-0.04699680655040597
29,970.8306250206723,48541.531251033615,0,-0.048541531251033616
30,939.8293387770603,46991.46693885302,0,-0.04699146693885302
31,1185.2278184508937,59261.390922544684,0,-0.059261390922544684
32,998.6502775262067,49932.51387631033,0,-0.049932513876310335
33,894.2289071044099,44711.4453552205,0,-0.0447114453552205
34,1082.254491210319,54112.724560515955,0,-0.054112724560515954
35,877.9156350028977,43895.78175014489,0,-0.043895781750144885
36,1020.8863595004756,51044.31797502378,0,-0.05104431797502378
37,804.0329876120225,40201.64938060113,0,-0.040201649380601126
38,867.1813951101569,43359.06975550785,0,-0.04335906975550785
39,1019.6861235869123,50984.30617934562,0,-0.05098430617934562
40,3221.5399739986233,100.0,1,-0.0001
41,3051.410484356991,100.0,1,-0.0001
42,2965.3055152835277,100.0,1,-0.0001
43,2909.6688913232138,100.0,1,-0.0001
44,2556.4434028897717,100.0,1,-0.0001
45,2784.046737481587,100.0,1,-0.0001
46,2861.8083687120634,100.0,1,-0.0001
47,3317.136667865675,100.0,1,-0.0001
48,3103.0854868705387,100.0,1,-0.0001
49,2471.08795339118,123554.397669559,0,-0.123554397669559
50,3097.225190818438,100.0,1,-0.0001
51,2884.475315875105,100.0,1,-0.0001
52,2796.9233999082126,100.0,1,-0.0001
53,3183.5028866522603,100.0,1,-0.0001
54,3309.2998567487857,100.0,1,-0.0001
55,3279.384035734859,100.0,1,-0.0001
56,2748.2347430332084,100.0,1,-0.0001
57,2907.2362872446356,100.0,1,-0.0001
58,3099.379029421069,100.0,1,-0.0001
59,3292.6635381367078,100.0,1,-0.0001
60,2856.247728646413,100.0,1,-0.0001
61,2944.302307000855,100.0,1,-0.0001
62,2668.0995077981916,100.0,1,-0.0001
63,2641.1380127757984,100.0,1,-0.0001
64,3243.757746718259,100.0,1,-0.0001
65,3406.872008571247,100.0,1,-0.0001
66,2978.3969635259,100.0,1,-0.0001
67,3301.059869367607,100.0,1,-0.0001
68,3108.4908075142903,100.0,1,-0.0001
69,2806.464073618463,100.0,1,-0.0001
70,1036.1395605508415,51806.97802754208,0,-0.051806978027542076
71,1153.803656646597,57690.18283232985,0,-0.05769018283232985
72,996.4173960890048,49820.86980445024,0,-0.04982086980445024
73,1156.4643655814007,57823.21827907003,0,-0.057823218279070034
74,738.0254895910256,36901.27447955128,0,-0.03690127447955128
75,1082.1902504375223,54109.51252187612,0,-0.05410951252187612
76,1008.7047068238171,50435.235341190855,0,-0.050435235341190855
77,970.0992649534132,48504.96324767067,0,-0.04850496324767067
78,1009.1760776535502,50458.80388267751,0,-0.05045880388267751
79,801.2431085399107,40062.15542699554,0,-0.04006215542699554
80,978.0328112162488,48901.64056081244,0,-0.04890164056081244
81,1035.7112571511746,51785.56285755873,0,-0.05178556285755873
82,1147.7894044741515,57389.470223707576,0,-0.05738947022370758
83,948.1729781726352,47408.64890863177,0,-0.047408648908631765
84,919.1506397106813,45957.531985534064,0,-0.04595753198553407
85,949.8242956415463,47491.21478207732,0,-0.047491214782077316
86,1091.5402117702074,54577.01058851038,0,-0.054577010588510375
87,1032.8751109659684,51643.75554829842,0,-0.05164375554829842
88,947.0239796232961,47351.19898116481,0,-0.047351198981164806
89,1051.3267433113356,52566.33716556678,0,-0.05256633716556678
90,1009.707754934804,50485.387746740205,0,-0.050485387746740204
91,1096.864499053289,54843.22495266445,0,-0.05484322495266445
92,929.7946906122647,46489.73453061324,0,-0.04648973453061324
93,967.2337853402232,48361.68926701116,0,-0.04836168926701116
94,960.7891846867842,48039.459234339214,0,-0.048039459234339214
95,853.6485051867882,42682.425259339405,0,-0.04268242525933941
96,1029.6120277064576,51480.60138532289,0,-0.051480601385322886
97,1026.105527217989,51305.27636089945,0,-0.05130527636089945
98,1000.511345664246,50025.56728321231,0,-0.05002556728321231
99,976.5412866624853,48827.06433312427,0,-0.04882706433312427
